Period,Data Item,Value
2008-01-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",7422000
2008-02-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",7370000
2008-03-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",8037000
2008-04-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",7649000
2008-05-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",8606000
2008-06-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",9087000
2008-07-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",8388000
2008-08-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",6606000
2008-09-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",7266000
2008-10-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",6362000
2008-11-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",5630000
2008-12-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",6751000
2009-01-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",6761000
2009-02-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",7288000
2009-03-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",7548000
2009-04-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",8231000
2009-05-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",8953000
2009-06-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",7862000
2009-07-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",8402000
2009-08-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",7005000
2009-09-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",6057000
2009-10-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",6546000
2009-11-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",6556000
2009-12-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",7464000
2010-01-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",7816000
2010-02-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",6940000
2010-03-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",6577000
2010-04-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",9541000
2010-05-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",7892000
2010-06-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",8032000
2010-07-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",8133000
2010-08-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",7369000
2010-09-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",10073000
2010-10-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",9326000
2010-11-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",6736000
2010-12-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",7465000
2011-01-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",7777000
2011-02-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",9114000
2011-03-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",6997000
2011-04-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",11863000
2011-05-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",8790000
2011-06-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",8064000
2011-07-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",8579000
2011-08-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",7227000
2011-09-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",6158000
2011-10-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",5602000
2011-11-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",6979000
2011-12-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",8824000
2012-01-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",8779000
2012-02-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",7489000
2012-03-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",6431000
2012-04-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",8909000
2012-05-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",8686000
2012-06-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",8832000
2012-07-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",7819000
2012-08-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",7953000
2012-09-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",6798000
2012-10-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",6325000
2012-11-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",5513000
2012-12-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",7926600
2013-01-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",7625700
2013-02-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",6887100
2013-03-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",7123700
2013-04-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",7873200
2013-05-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",9570000
2013-06-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",8034400
2013-07-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",7047300
2013-08-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",5910400
2013-09-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",9177200
2013-10-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",7145300
2013-11-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",6272800
2013-12-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",7723000
2014-01-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",8128600
2014-02-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",8313200
2014-03-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",8016300
2014-04-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",7130600
2014-05-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",8543200
2014-06-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",8268900
2014-07-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",8523600
2014-08-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",7422000
2014-09-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",7936200
2014-10-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",7323700
2014-11-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",7649600
2014-12-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",8923300
2015-01-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",8306300
2015-02-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",5924000
2015-03-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",7851900
2015-04-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",14917000
2015-05-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",32985200
2015-06-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",10521100
2015-07-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",6119000
2015-08-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",7843700
2015-09-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",6164200
2015-10-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",5163000
2015-11-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",5961500
2015-12-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",6583700
2016-01-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",8552700
2016-02-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",5192600
2016-03-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",8109400
2016-04-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",8287600
2016-05-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",9007000
2016-06-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",8206400
2016-07-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",8783400
2016-08-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",8310100
2016-09-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",7604000
2016-10-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",8379800
2016-11-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",7750300
2016-12-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",10486300
2017-01-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",9438100
2017-02-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",8911600
2017-03-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",10410900
2017-04-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",13443900
2017-05-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",9297300
2017-06-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",9509200
2017-07-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",9053100
2017-08-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",8712400
2017-09-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",8605300
2017-10-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",8715600
2017-11-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",7481600
2017-12-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",9495700
2018-01-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",9963100
2018-02-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",10256800
2018-03-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",10365000
2018-04-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",11688000
2018-05-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",10097800
2018-06-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",13712700
2018-07-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",10378400
2018-08-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",9151000
2018-09-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",10121400
2018-10-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",11516600
2018-11-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",10044400
2018-12-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",11170700
2019-01-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",12279200
2019-02-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",10015000
2019-03-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",10145800
2019-04-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",13161500
2019-05-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",12698600
2019-06-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",12685700
2019-07-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",11975000
2019-08-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",12020400
2019-09-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",9322500
2019-10-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",11179700
2019-11-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",11565600
2019-12-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",12399700
2020-01-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",13380300
2020-02-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",12973300
2020-03-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",12296400
2020-04-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",15491900
2020-05-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",12838900
2020-06-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",14706300
2020-07-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",13260800
2020-08-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",11430300
2020-09-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",12296400
2020-10-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",10129800
2020-11-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",10580900
2020-12-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",10708200
2021-01-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",10404000
2021-02-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",10149500
2021-03-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",12132000
2021-04-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",13738100
2021-05-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",13984200
2021-06-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",12219300
2021-07-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",11303800
2021-08-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",11880700
2021-09-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",11771200
2021-10-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",9970300
2021-11-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",11661600
2021-12-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",12762000
2022-01-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",12783200
2022-02-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",12371900
2022-03-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",27557800
2022-04-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",15598400
2022-05-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",13994100
2022-06-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",12520900
2022-07-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",10833800
2022-08-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",11020000
2022-09-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",10810300
2022-10-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",10720800
2022-11-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",10033100
2022-12-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",13301900
